Date;AAPL;ABBV;ABT;ACN;AGN;AIG;ALL;AMGN;AMZN;AXP;BA;BAC;BIIB;BK;BLK;BMY;BRK.B;C;CAT;CELG;CHTR;CL;CMCSA;COF;COP;COST;CSCO;CVS;CVX;DHR;DIS;DUK;DWDP;EMR;EXC;F;FB;FDX;FOX;FOXA;GD;GE;GILD;GM;GOOG;GOOGL;GS;HAL;HD;HON;IBM;INTC;JNJ;JPM;KHC;KMI;KO;LLY;LMT;LOW;MA;MCD;MDLZ;MDT;MET;MMM;MO;MON;MRK;MS;MSFT;NEE;NKE;ORCL;OXY;PCLN;PEP;PFE;PG;PM;PYPL;QCOM;RTN;SBUX;SLB;SO;SPG;T;TGT;TWX;TXN;UNH;UNP;UPS;USB;UTX;V;VZ;WBA;WFC;WMT;XOM
2015-03-25;117.255447;52.752926;43.666954;82.06089;297.953552;51.914314000000005;67.313942;151.050735;370.959991;76.503784;136.881577;14.865460999999998;431.630005;37.690506;341.666382;60.444664;;50.043476;72.35032700000001;116.989998;183.0;64.792427;26.185999;74.462029;57.876968000000005;141.17443799999998;25.030754;97.38748199999999;94.87289399999999;42.91695;101.43768299999999;67.302338;44.326321;51.806358;29.849852000000002;13.904307000000001;82.91999799999999;162.11099199999998;32.229954;33.197128;126.775429;22.950924;94.360809;33.411701;555.726807;567.0;180.946274;41.654517999999996;107.749496;96.175034;143.964645;27.512903;93.58934;55.471722;;37.628147;37.289516;69.667007;185.604874;70.793198;85.580673;91.04046600000001;34.169182;73.316193;41.012665000000005;152.55127;45.649437;106.232018;53.87392;33.682964;38.893097;96.0672;47.925148;41.14484;65.982864;1152.699951;88.66660300000001;31.043049;75.998322;68.980354;;61.401512;102.277496;46.139778;77.485336;39.196712;177.381866;28.355796999999995;74.969437;80.930077;51.91193;111.777405;104.284973;89.830078;40.701469;109.44561000000002;64.422516;42.900921000000004;81.666931;50.36166;75.797363;76.915047
2015-03-26;118.07276200000001;51.892128;43.638798;87.60541500000001;298.63739;51.581036;66.979996;150.98490900000002;367.350006;74.947174;136.82617199999999;14.875110000000001;428.92999299999997;37.967087;340.004608;60.724934;;49.858418;72.368439;117.660004;181.75;64.651321;25.898802;74.15035999999999;58.051376;140.212067;24.693487;96.68596600000001;94.495811;42.901688;101.669533;66.754654;44.354713000000004;51.68737;29.55899;13.758217000000002;83.010002;162.1698;31.987701;32.887054;127.50522600000001;22.849573;95.513611;33.384876;552.131592;563.6400150000001;180.84004199999998;41.386158;106.50783500000001;96.401466;145.221573;27.687796000000002;93.40280200000001;55.406574;;37.765373;37.19733;68.805077;187.041061;69.458549;86.129181;90.576637;33.472637;72.666473;41.232765;152.448151;45.512894;106.06192800000001;53.263615;33.844494;38.658577;95.416962;48.08976;41.202346999999996;65.991821;1140.359985;89.010986;30.916341999999997;75.21096;68.656578;;61.355839;102.315125;45.80735;77.364388;38.956352;176.011429;28.529654999999998;73.885597;80.511978;51.977127;111.499252;101.79124499999999;89.074272;40.542126;109.05091100000001;64.285294;42.627995;80.297569;50.324715000000005;76.328659;76.425606
2015-03-27;117.131897;52.236453999999995;43.901573;87.39145699999999;300.857452;51.447731;66.836876;152.903366;370.559998;74.460114;137.454102;14.768997;429.869995;37.909863;339.51641800000004;60.967838;;49.673363;72.17819200000001;118.68;180.0;64.660736;25.912697;74.2826;57.766811;140.595154;24.729945999999998;97.169441;93.624931;43.171345;101.901398;67.338249;45.61544;51.75145;29.477186;13.732435;83.300003;161.28784199999998;31.726065000000002;32.654503000000005;127.988602;22.904861;95.43802600000001;33.349129;545.338989;557.549988;181.632004;41.462837;107.92011299999999;97.14688100000001;145.04978899999998;29.455099;93.58934;55.415881999999996;;37.756226;36.948429;68.93624100000001;188.598465;70.230743;85.46311999999999;89.945824;34.066761;73.39681999999999;40.980053000000005;153.301376;45.822379999999995;106.51546499999999;53.40232099999999;34.044028999999995;38.433437;96.17866500000001;48.356037;40.866886;65.087814;1135.189941;89.30883;31.251202000000003;75.35743000000001;69.061302;;61.23706800000001;103.425308;45.802544;77.503929;39.178905;177.482376;28.468807;74.91433;80.873062;52.871356999999996;113.187325;102.045334;89.028191;40.405421999999994;109.859108;64.236298;42.751255;81.105873;49.973824;75.82534;75.75489
2015-03-30;120.097023;52.771042;44.183113;87.83799;302.04681400000004;52.066666;67.695595;154.52088899999998;374.589996;74.53652199999999;141.009354;14.971576;431.619995;38.424865999999994;345.59078999999997;61.434959;;50.296707;73.718338;120.019997;183.389999;65.168617;26.459557;74.80204;58.749027000000005;142.370468;25.203943;98.43026;95.977211;43.55294;102.519684;68.146309;46.494133000000005;51.797215;30.513384000000002;13.887120000000001;83.199997;163.40451000000002;32.123363;33.197128;130.329666;23.144410999999998;95.145088;33.679848;549.008789;561.1400150000001;184.490814;41.999577;108.649925;98.986778;147.102554;28.95805;94.717941;56.727996999999995;;38.488113;37.34483;69.207939;191.079178;71.307976;85.874512;90.799263;34.977123;74.383301;41.518089;155.692307;45.995331;107.129631;53.947903000000004;34.500103;38.424053;97.29335;48.845015999999994;41.633629;66.21558399999999;1149.829956;89.839378;31.676579999999998;75.73281899999999;69.124245;;62.927184999999994;105.062927;46.240952;78.592392;39.463783;179.958328;28.660048;75.447075;81.053604;54.026405000000004;116.05513;103.59803000000001;89.654938;41.282166;111.672867;64.353912;43.244263000000004;81.77153;50.574032;76.925201;77.612946
2015-03-31;118.253304;53.042873;43.479267;87.158897;294.97033700000003;52.171413;67.90550999999999;150.32663;372.100006;74.852722;138.589935;14.84617;422.23999000000003;38.377174;343.468994;60.257828;;50.179832;72.504333;115.279999;193.110001;65.21563;26.394121000000002;74.443146;57.151782999999995;141.557556;25.286613;97.84251400000001;94.253395;43.196785;101.331413;68.936417;45.825565000000005;51.824665;30.549742;13.869931;82.220001;162.130585;31.861732;32.790161;128.64257800000001;22.858789;92.726074;33.518959;545.000854;554.700012;181.545059;42.057076;107.683159;98.420647;145.140244;28.783159;93.831856;56.374386;;38.478970000000004;37.381706;68.064934;189.27926599999998;70.91712199999999;84.620728;90.391098;34.584232;73.975441;41.208309;154.660919;45.531096999999995;106.79749299999999;53.152649;33.911003;38.142635;96.652405;48.573898;41.355686;65.33844;1164.150024;89.001678;31.486526;75.01870699999999;67.748245;;63.347424;103.415848;45.624275;77.624863;39.419270000000004;178.743179;28.381878000000004;75.382774;80.236427;53.271904000000006;113.45587900000001;101.922989;89.350792;41.169033;110.14103700000001;64.108887;42.812884999999994;80.525795;50.232384;76.6642;77.041946
2015-04-01;118.08225300000001;51.738087;43.066340999999994;87.037941;293.790924;52.190459999999995;68.020004;147.740448;370.26001;75.628838;137.260178;14.865460999999998;413.809998;38.348572;340.39898700000003;59.722237;;50.277233;72.151016;114.57;190.630005;64.98050699999999;26.669885999999998;75.43483;57.849433999999995;140.380234;25.029428;96.94193299999999;94.082809;42.687984;101.862755;68.9813;45.749153;51.156494;29.858936;13.672282999999998;81.66999799999999;162.904724;31.687303999999997;32.538227;126.98393999999999;22.886426999999998;92.338646;32.839642;539.5905759999999;549.48999;185.6595;41.999577;107.228195;97.41107199999999;143.946548;28.359742999999998;92.47940799999999;56.158919999999995;;38.350887;37.501549;67.01561;185.36236599999998;70.91712199999999;84.963554;89.32429499999999;34.785472999999996;72.220665;40.980053000000005;152.382523;45.785969;110.991951;52.579327;34.177048;38.198917;97.31193499999999;48.196274;41.154423;66.448288;1149.599976;88.508354;31.070196000000003;75.366608;68.413765;;63.429649;101.844498;44.814892;78.40634200000001;39.721942999999996;180.890213;28.590502;75.401138;78.678062;52.666431;112.65018500000001;101.010193;88.98209399999999;40.999344;108.938126;63.88345;43.068184;80.126396;49.807621000000005;75.22879;76.552498
2015-04-02;119.09913600000002;51.656544;43.291569;88.580444;295.713654;52.504681000000005;68.172653;146.593124;372.25;76.366638;137.851196;14.990869;412.440002;38.672825;343.994781;59.412155000000006;;50.510998;72.69459499999999;114.309998;189.580002;65.206238;27.0812;75.850418;57.996304;141.679016;24.919209;97.36853;94.522743;42.835537;102.403748;69.106995;46.073890999999996;50.83614;30.340687;13.775404;81.559998;162.885132;32.210578999999996;32.983955;126.747032;22.978567;93.009552;32.625122;532.59906;541.3099980000001;185.002701;42.133755;108.56462900000001;97.665817;145.094986;28.359742999999998;92.936447;56.692882999999995;;38.167915;37.501549;66.743912;185.325089;71.34610699999999;85.24762700000001;88.897583;35.101704;72.913078;41.65667;152.645065;46.5961;110.36563100000001;52.80125400000001;34.262562;37.795536;97.302643;48.249527;40.990913;66.72575400000001;1160.439941;89.066841;31.115452;75.467323;69.483994;;62.095825;102.668037;45.474926;78.508659;39.739758;182.141907;28.799128000000003;75.933891;80.768547;52.834103000000006;112.56388899999999;100.812569;88.91758;41.206745;110.07526399999999;63.991276;43.552391;81.752525;50.204678;75.247437;76.407471
2015-04-06;121.02835800000001;52.200203;43.451103;90.000671;295.188416;52.771297;68.81192800000001;146.028885;377.040009;76.29956800000001;139.37486299999998;14.961928;413.420013;38.615604;344.539276;59.196049;;50.277233;73.827049;112.970001;193.190002;65.78935200000001;27.207399;75.85985600000001;60.024981999999994;142.491928;25.001873;98.051079;95.995171;43.232395000000004;102.04630300000001;70.24726899999999;46.494133000000005;52.163338;30.749712;13.749623000000001;82.440002;163.32614099999998;32.443146;33.371544;128.43403600000002;23.199694;92.404785;32.768135;533.8273320000001;543.950012;185.485626;43.973991;108.953239;98.5905;146.53286699999998;28.571448999999998;92.488747;56.646046;;38.396629;37.953262;66.809494;187.013077;71.55584;85.551277;89.31501800000001;35.456268;73.37786899999999;41.713741;155.15786699999998;46.869175;111.115311;52.875232999999994;34.120036999999996;38.977528;98.03647600000001;48.283417;41.317928;68.48005699999999;1185.01001;89.802155;31.205957;76.025787;70.329391;;61.903983999999994;103.32119;45.537552000000005;79.922729;39.989017;183.457535;28.972986;76.549286;81.034615;52.917931;112.88999199999999;100.106812;89.258614;40.839077;110.761284;63.903061;43.693264;83.692451;49.936896999999995;75.489769;77.159752
2015-04-07;119.754898;52.934139;43.347878;90.659042;292.92871099999996;52.352325;68.19175;147.909744;374.410004;75.05394;140.658432;14.913694;418.089996;38.691906;346.078979;59.196049;;50.179832;72.96637700000001;112.720001;189.75;65.563629;27.258812;75.245949;60.39216999999999;141.819183;25.158022;97.766685;97.44963800000001;43.415562;101.853096;69.717537;46.34132;51.68737;30.722443;13.663687;82.32;167.726044;32.259033;33.17775;127.950668;23.052270999999998;93.255234;31.936860999999997;534.080933;544.8599849999999;185.81401100000002;42.670486;108.337158;98.250801;146.559967;28.773951;93.365509;57.00200699999999;;38.414928;37.805763;67.174881;186.658676;70.650185;86.277458;89.379959;35.456268;73.207115;41.412109;155.842331;47.060333;111.836555;53.106418999999995;34.148537;38.958767;96.875343;48.225319;41.317928;68.74855;1184.97998;89.55085;31.26026;75.430702;69.91568000000001;;61.501999;102.933075;45.320759;80.257645;39.401459;181.164291;28.825205;75.87876899999999;81.06311;53.039028;112.554276;101.480705;89.11116;40.867359;110.41356699999999;64.491119;43.376315999999996;82.998238;49.881493;75.033043;77.72171
2015-04-08;119.365242;53.287518000000006;43.742031;90.421402;292.15564;52.799862;68.2967;150.777985;381.200012;75.398872;141.61883500000002;15.058394;425.35998499999994;38.806343;347.102325;59.68465;;50.540207;72.875793;115.150002;190.779999;65.74234;27.66078;75.73706800000001;59.492568999999996;142.024719;25.304983;97.57708000000001;95.761749;43.425739;102.751541;69.40329;46.198048;51.934509000000006;30.358864;13.732435;82.279999;168.39236499999998;32.20089;33.071159;128.836639;23.043062;94.370262;32.276531;538.645813;548.840027;185.978195;42.382946000000004;109.559853;97.986626;146.361053;28.819975;93.42145500000001;57.189365;;38.469814;37.695133;67.596497;187.27418500000002;71.31750500000001;87.651299;89.843788;35.829994;72.457771;41.65667;155.89858999999998;46.987507;111.16276599999999;52.847492;34.452591;38.855576;96.643127;48.820812;41.462193;68.56059300000001;1192.25;89.38329300000001;31.350765000000003;75.778587;69.466003;;61.447201;103.160271;45.87962;80.118103;39.472679;180.406036;28.78994;76.365593;80.93956800000001;53.066970999999995;113.359978;101.75359300000001;89.101913;40.94278;110.74248500000002;65.177185;43.741352;83.378624;49.863021999999994;75.527069;76.189934
