,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
363,27935.4,6008552,bismuth,1512549579,5646062.00,109999978,Bismuth,-5.38,1.06,21.56,7.51E-05,0.939671,364,BIS,6630067
364,123558,32086595,trustplus,1512549547,5620673.00,,TrustPlus,7.86,-1.09,26.89,1.40E-05,0.175172,365,TRUST,32086595
365,258144,21583168,primecoin,1512549541,5619588.00,,Primecoin,-5.5,-3.58,5.82,2.08E-05,0.260369,366,XPM,21583168
366,311817,38873525,belacoin,1512549544,5558759.00,,Bela,1.15,-7.41,17.68,1.14E-05,0.142996,367,BELA,38873525
367,48500.5,1633760178,sharechain,1512549584,5506850.00,,Sharechain,-0.54,-0.71,20.34,2.70E-07,0.00337066,368,SSS,10000000000
368,291339,4764026,parkbyte,1512549549,5349906.00,,ParkByte,0.53,2.93,20.28,8.98E-05,1.12298,369,PKB,4764026
369,811493,111085648,dopecoin,1512549544,5296619.00,,DopeCoin,1.55,5.1,67.97,3.81E-06,0.0476805,370,DOPE,111085648
370,192666,6268082,breakout-stake,1512549556,5270248.00,,Breakout Stake,-3.44,-2.04,11.95,6.72E-05,0.840807,371,BRX,6268082
371,97185.7,4883677,karbowanec,1512549559,5262211.00,,Karbowanec,-0.8,-6.22,-17.02,8.61E-05,1.07751,372,KRB,4883677
372,99212.8,68986645,flixxo,1512549588,5237866.00,,Flixxo,0.58,-9.58,-32.76,6.07E-06,0.0759258,373,FLIXX,189151329
373,572119,177371,gobyte,1512549586,5232102.00,31800000,GoByte,7.11,48.01,100.04,0.00235754,29.4981,374,GBX,1002358
374,69372.4,22396250,rupee,1512549572,5195796.00,84000000,Rupee,-1.09,4.23,22.53,1.85E-05,0.231994,375,RUP,22396250
375,521156,518365648,2give,1512549556,5189514.00,,2GIVE,-1.22,3.19,34.42,8.00E-07,0.0100113,376,2GIVE,518365648
376,194498,25776115,elixir,1512549576,5152542.00,,Elixir,-2.95,-24.37,102.67,1.60E-05,0.199896,377,ELIX,25776115
377,11888.8,40659020000,htmlcoin,1512549548,5087379.00,,HTMLCOIN,0.51,-35.51,1.07,1.00E-08,0.000125123,378,HTML5,40659020000
378,19561.7,73877869,centurion,1512549563,5039896.00,250000000,Centurion,0.63,13.81,-43.58,5.45E-06,0.0682193,379,CNT,78877869
379,206096,15246440,goldblocks,1512549556,5036006.00,,GoldBlocks,7.51,37.94,35.79,2.64E-05,0.330307,380,GB,15246440
380,5522.27,33390496,vslice,1512549560,4981762.00,,vSlice,0.54,38.72,26.3,1.19E-05,0.149197,381,VSL,33390496
381,232718,46508192,indorse-token,1512549584,4942426.00,,Indorse Token,-0.18,-8.61,31.08,8.49E-06,0.10627,382,IND,170622047
382,14441.3,21799280,terracoin,1512549541,4883169.00,42000000,Terracoin,0.51,8.96,36.69,1.79E-05,0.224006,383,TRC,21799280
383,407077,4976004,pirl,1512549582,4855535.00,,Pirl,0.32,-11.11,119,7.80E-05,0.97579,384,PIRL,4976004
384,4115880,11803431,aeron,1512549583,4850289.00,,Aeron,3.17,1.77,-15.64,3.28E-05,0.410922,385,ARN,20000000
385,33413.4,32522944,neutron,1512549549,4830047.00,,Neutron,-11.92,-19.59,-15.64,1.19E-05,0.148512,386,NTRN,32522944
386,102688,14057212,propy,1512549577,4803546.00,,Propy,-0.76,0.71,9.77,2.73E-05,0.341714,387,PRO,100000000
387,63900.2,4109480,blitzcash,1512549548,4659575.00,,Blitzcash,-1.38,-1.98,3.38,9.06E-05,1.13386,388,BLITZ,4109480
388,89844.8,18142083,breakout,1512549555,4620135.00,,Breakout,0.16,-2.98,5.03,2.04E-05,0.254664,389,BRK,18142083
389,9216.52,574683675,bluecoin,1512549544,4602170.00,,BlueCoin,-2.07,12.35,128.65,6.40E-07,0.00800818,390,BLU,574683675
390,1653870,14397076,bitcoin-red,1512549581,4569085.00,,Bitcoin Red,2.77,-29.87,693.37,2.54E-05,0.317362,391,BTCRED,21000000
391,14782.1,2616334,mybit-token,1512549580,4568171.00,,MyBit Token,19.49,42.57,-22.9,0.00013954,1.74602,392,MYB,2812073
392,56963.7,9729115,phore,1512549583,4492263.00,,Phore,-6.3,21.53,-11.82,3.69E-05,0.461734,393,PHR,11345682
393,448605,1809800,zclassic,1512549562,4482531.00,,ZClassic,0.27,3.48,11.2,0.00019795,2.47681,394,ZCL,1809800
394,87524,36057247,encrypgen,1512549587,4470414.00,,EncrypGen,2.49,-16.32,106.54,9.91E-06,0.123981,395,DNA,100000000
395,131583,13321301,evergreencoin,1512549552,4335164.00,,EverGreenCoin,0.09,-1.81,7.52,2.60E-05,0.325431,396,EGC,13321301
396,3063.97,33373523,dovu,1512549582,4322939.00,,Dovu,-0.12,-2.68,-4.41,1.04E-05,0.129532,397,DOVU,1200000000
397,224286,12134791,universal-currency,1512549549,4304951.00,210000000,Universal Currency,-15.41,-48.96,-42.53,2.84E-05,0.354761,398,UNIT,16234791
398,78610.7,13600388,darcrus,1512549563,4167594.00,,Darcrus,9.66,-18.15,18.1,2.45E-05,0.306432,399,DAR,13600388
399,460964,77231176,cannabiscoin,1512549545,4070647.00,,CannabisCoin,-2.16,-9.38,50.12,4.21E-06,0.0527073,400,CANN,91859176
400,32200.2,125990535,zephyr,1512549583,4068171.00,,Zephyr,7.96,21.75,8.39,2.58E-06,0.0322895,401,ZEPH,2000000000
401,258947,3327323,geocoin,1512549548,4061563.00,,GeoCoin,0.53,-7.91,8.04,9.76E-05,1.22067,402,GEO,3327323
402,29071.2,12878692,creativecoin,1512549566,4043472.00,115000000,Creativecoin,-4.61,-17.42,24.98,2.51E-05,0.313966,403,CREA,12878692
403,1221620,530192,luxcoin,1512549581,4014040.00,60000000,LUXCoin,-1.94,-8.52,403.73,0.00060508,7.57092,404,LUX,3530192
404,55674,2242500,hush,1512549560,3995754.00,21000000,Hush,0.48,7.59,0.61,0.00014241,1.78183,405,HUSH,2242500
405,650.553,20999088,ixcoin,1512549541,3966770.00,,Ixcoin,0.54,18,38.71,1.51E-05,0.188902,406,IXC,20999088
406,177092,1396444,veriumreserve,1512549558,3843055.00,,VeriumReserve,2.01,-0.74,4.1,0.00021995,2.75203,407,VRM,1396444
407,139488,466012853,shield-xsh,1512549585,3840258.00,660000000,SHIELD,-1.39,1.07,-27.45,6.60E-07,0.00824067,408,XSH,466012853
408,8912.45,100313971,atmos,1512549567,3828222.00,,Atmos,3.21,10.34,7.38,3.05E-06,0.0381624,409,ATMS,110313971
409,144521,1000,primalbase,1512549575,3826890.00,1250,Primalbase Token,0.19,-5.47,9.47,0.305851,3826.89,410,PBT,1250
410,39290.3,46500000,oceanlab,1512549576,3807267.00,,Oceanlab,-5.47,3.69,22.15,6.54E-06,0.0818767,411,OCL,50000000
411,44210.3,629610,internxt,1512549578,3766217.00,629610,Internxt,-1.72,6.57,166.57,0.00047808,5.98183,412,INXT,629610
412,19914.5,35300866,rustbits,1512549578,3759260.00,,Rustbits,-0.88,,16.34,8.51E-06,0.106492,413,RUSTBITS,100000000
413,7603.25,10055817,real,1512549581,3707188.00,,REAL,0.16,-0.54,-3.07,2.95E-05,0.368661,414,REAL,19717288
414,36870.3,65828135,autonio,1512549584,3654054.00,,Autonio,0.14,-27.34,-39.48,4.44E-06,0.055509,415,NIO,220466789
415,135572,15967155,e-gulden,1512549544,3653844.00,21000000,e-Gulden,-4.48,0.26,22.35,1.83E-05,0.228835,416,EFL,20594152
416,7475.29,263034654,hellogold,1512549580,3627616.00,,HelloGold,1.46,21.52,139.55,1.10E-06,0.0137914,417,HGT,1000000000
417,55946.5,18897126,ebtcnew,1512549583,3592022.00,,eBitcoin,2.14,5.9,21.86,1.52E-05,0.190083,418,EBTC,21000000
418,36007.7,3709674,hedge,1512549580,3497303.00,,Hedge,3.67,-0.92,-11.72,7.54E-05,0.942752,419,HDG,5100033
